0:0.000010	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.004042	6:0.000010	7:0.000010	8:0.000092	9:0.000010	10:0.000010	11:0.000256	12:0.006508	13:0.000010	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.003094	20:0.000010	21:0.000010	22:0.002633	23:0.000010	24:0.000010	25:0.000010	26:0.000255	27:0.000010	28:0.000010	29:0.000011	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.009910	36:0.000010	37:0.000010	38:0.000010	39:0.001640	40:0.000010	41:0.000010	42:0.004518	43:0.000143	44:0.000010	45:0.011064	46:0.002949	47:0.001795	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.022661	3:0.000010	4:0.000010	5:0.000010	6:0.000010	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.007174	12:0.000010	13:0.000010	14:0.000010	15:0.000010	16:0.009230	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000133	23:0.000944	24:0.000010	25:0.000010	26:0.000010	27:0.006630	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.001212	34:0.000010	35:0.000010	36:0.000010	37:0.000182	38:0.000010	39:0.000010	40:0.000010	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.000033	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.000010	6:0.001498	7:0.000010	8:0.000010	9:0.000969	10:0.002345	11:0.000010	12:0.000010	13:0.001353	14:0.000010	15:0.000010	16:0.000024	17:0.000010	18:0.000010	19:0.002984	20:0.000010	21:0.000010	22:0.000010	23:0.002195	24:0.000010	25:0.000010	26:0.000010	27:0.000015	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.000138	40:0.000010	41:0.000010	42:0.000090	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.004560	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.005203	3:0.000010	4:0.000010	5:0.000010	6:0.001253	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.001911	13:0.000010	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.000518	30:0.000010	31:0.000010	32:0.000010	33:0.009747	34:0.000010	35:0.000010	36:0.000010	37:0.023232	38:0.000010	39:0.000010	40:0.002896	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000010	3:0.002215	4:0.000010	5:0.000010	6:0.005402	7:0.000010	8:0.000012	9:0.000010	10:0.000010	11:0.000010	12:0.000160	13:0.000010	14:0.000473	15:0.000010	16:0.000010	17:0.000093	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.001943	26:0.002898	27:0.000774	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.001538	37:0.000010	38:0.000010	39:0.000010	40:0.001450	41:0.000010	42:0.000299	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.007546	49:0.000010	
0:0.000401	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.000010	6:0.000010	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.001252	15:0.000010	16:0.000010	17:0.000012	18:0.000010	19:0.000010	20:0.000455	21:0.000010	22:0.006144	23:0.008862	24:0.003150	25:0.000010	26:0.000010	27:0.000010	28:0.003284	29:0.004119	30:0.000010	31:0.000010	32:0.003754	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.002625	40:0.000522	41:0.000150	42:0.000481	43:0.000152	44:0.002873	45:0.000010	46:0.000010	47:0.000049	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000027	3:0.000010	4:0.000010	5:0.000503	6:0.000010	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.002144	12:0.002013	13:0.000017	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000017	20:0.000427	21:0.000010	22:0.001838	23:0.000010	24:0.000119	25:0.000010	26:0.000737	27:0.000010	28:0.000773	29:0.002857	30:0.000010	31:0.000023	32:0.000010	33:0.002025	34:0.000010	35:0.003604	36:0.000597	37:0.001002	38:0.000010	39:0.000278	40:0.000017	41:0.000010	42:0.000035	43:0.000010	44:0.000010	45:0.000585	46:0.000010	47:0.002363	48:0.000010	49:0.000053	
0:0.000010	1:0.003462	2:0.000032	3:0.000960	4:0.000010	5:0.000010	6:0.003989	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.004297	12:0.000010	13:0.000010	14:0.005065	15:0.003703	16:0.000010	17:0.000061	18:0.000010	19:0.001883	20:0.000010	21:0.000114	22:0.000010	23:0.012297	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.003661	33:0.010145	34:0.000908	35:0.000424	36:0.000010	37:0.004330	38:0.000634	39:0.000010	40:0.000010	41:0.000811	42:0.000010	43:0.000010	44:0.000010	45:0.000043	46:0.000497	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000010	3:0.000464	4:0.000010	5:0.000010	6:0.000010	7:0.000010	8:0.000700	9:0.000010	10:0.000010	11:0.000559	12:0.006834	13:0.001647	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.002841	22:0.000010	23:0.000010	24:0.000010	25:0.000056	26:0.000010	27:0.000010	28:0.000133	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.002141	40:0.000831	41:0.000010	42:0.000010	43:0.000010	44:0.004232	45:0.000010	46:0.000010	47:0.000010	48:0.000933	49:0.000010	
0:0.004228	1:0.000010	2:0.000010	3:0.000010	4:0.015565	5:0.000010	6:0.000010	7:0.000010	8:0.000010	9:0.002579	10:0.000010	11:0.000010	12:0.001674	13:0.000010	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000510	25:0.000344	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.006568	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.000010	40:0.000010	41:0.000010	42:0.000010	43:0.000045	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
